Accession Number,Reference Number ,Magazine,Date of Acquisition,Place of Acquisition,Volume,Issue,Release/Publication Date,Release/Publication Month ,Release/Publication Year,Newsstand Price,Size/Measurements,ISB,Primary Format,Image file name,Areas of Interest,Special Issue
,,Time,,,,,4,Sep,2012,,,,print,time_04_sep_2012.jpg,,Democratic National Convention Daily
,,Essence Special Issue,,,,,,January,2013,,,,,,,
,,Washingtonian,,,,,,january,2013,4.95,,,print,washingtonian_jan_2013.jpg,,Special Inauguration Issue
,,Denver Urban Spectrum,,,,,,March,2013,,,,online,dus_mar-2013.jpg,,
,,Vogue,,,,,,April,2013,4.99,,,print,vogue_apr_2103.jpg,,
,,Sports Illustrated Kids,,,,,,July,2013,,,,print,sportsill_jul_2013.jpg,,
,,Parade,,,,,18,August,2013,,,,print,parade_18_aug_2013.jpg,,
,,National Review,,,,,14,October,2013,,,,print,nationalr_14_oct_2014.jpg,,
,,Dots Online Magazine,,,,,,April/May,2013,,,,online,dotsmag_apr_2013.jpg,,
,,Heart & Soul,,,,,,December/January,2013,3.99,,,print,heart&soul_feb_2013.jpg,,
,,Savoy,,,,,,Fall,2013,,,,print,savoy_fall_2013.jpg,,
,,Dots Online Magazine,,,,,,Feb/Mar,2013,,,,online,dotmag_mar_2013,,
,,People,,,,,27,January,2014,,,,print,people_27_jan_2014.jpg,,
,,Parade,,,,,21-Jan,june,2014,,,,print,parade_22_june_2014.jpg,,
,,Essence,,,,,,August,2014,,,,print,essence_aug_2014.jpg,,
,,Redbook,,,,,,November,2014,3.99,,,print,redbook_nov_2014.jpg,,
,,People,,,,,29,December,2014,,,,print,people_29_dec_2014.jpg,,
,,Your Teen,,,,,,July/August ,2014,,,,print,yourteen_jul_2014.jpg,,
,,Cooking Light,,,,,,March,2015,,,,print,cooking_march_2015.jpg,,
,,Glamour,,,,,,May,2015,,,,print,glamour_may_2015.jpg,,
,,More,,,18,6,,July/August ,2015,4.99,,,print,more_july_2015.jpg,,
,,Chop Chop ,,,,,,Spring ,2015,,,,online,chopcho_spring_2015.jpg,,
,,Ford Magazine,,,,,,March,2016,,,,online,ford_ma_2016.jpg,,
,,Washington Life,,,,,,April,2016,,,,online?,washingtonl_apr_2016.jpg,,
,,Variety,,,,,22,August,2016,,,,print,variety_22_aug_2016.jpg,,
,,Rachel Ray Every Day,,,,,,September,2016,,,,print,rachelray_sep_2016.jpg,,
,,T,,,,,23,October,2016,,,,print,T_23_oct_2016.jpg,,
,,Essence,,,,,,October,2016,3.99,,,print,essence_oct_2016.jpg,,Special Collector's Issue
,,InStyle,,,18,6,,October,2016,4.99,,,print,Instyle_oct_2016.jpg,,
,,O M Times,,,,,16,November,2016,,,,online,omtimes_16_nov_2016.jpg,,
,,Upscale,,,,,16,november,2016,,,,print,upscale_16_nov_2016.jpg,,
,,People,,,,,19,December,2016,,,,print,people_19_dec_2016.jpg,,
,,The Week,,,,,23,December,2016,,,,print,theweek_23_dec_2016.jpg,,
,,Vogue,,,,,,December,2016,,,,print,vogue_dec_2016.jpg,,
,,Washingtonian,,,,,,December,2016,,,,print,washingtonian_dec_2016.jpg,,
,,Seventeen,,,,,,May ,2016,,,,print,Sevente_may_2016.jpg,,
,,Essence Special Issue,,,,,,November ,2016,,,,,,,
,,The Verge,,,,,,,2016,,,,print,theverge_2016.jpg,,
,,Sophisticate's Black Hair,,,,,,january,2017,,,,print,sophistic_jan_2017.jpg,,
,,Ebony Special Issue,,,,,,March ,2017,,,,print,ebony_now_2017.jpg,,Collectors Issue 
,,People,,,,,29,May ,2017,,,,print,people_19_may_2017.jpg,,
,,Health Today,,,,,,,2017,,,,,,,
,,The guardian,,,,,17,november ,2018,,,,,,,
,,Reader's Digest,,,,,,December /January,2011 /2012,3.99,,,print,readersdi_dec_2011.jpg,,
